Packet,PacketType,SampleNumber,Timestamp,PD,Temp_PY_TOP,Temp_PY_BOT,Temp_MIS7,Step,Data0,Data1
1,FF_Header,1,2700,1507,705,1221,1459,1,0,0
1,FF_Header,1,2700,1507,705,1221,1459,2,11,2041
1,FF_Header,1,2700,1507,705,1221,1459,3,23,2043
1,FF_Header,1,2700,1507,705,1221,1459,4,39,2043
1,FF_Header,1,2700,1507,705,1221,1459,5,53,2045
1,FF_Header,1,2700,1507,705,1221,1459,6,71,2045
1,FF_Header,1,2700,1507,705,1221,1459,7,85,2047
1,FF_Header,1,2700,1507,705,1221,1459,8,103,2047
1,FF_Header,1,2700,1507,705,1221,1459,9,117,2051
1,FF_Header,1,2700,1507,705,1221,1459,10,135,2053
1,FF_Header,1,2700,1507,705,1221,1459,11,149,2037
1,FF_Header,1,2700,1507,705,1221,1459,12,165,2045
1,FF_Header,1,2700,1507,705,1221,1459,13,181,2045
1,FF_Header,1,2700,1507,705,1221,1459,14,197,2041
1,FF_Header,1,2700,1507,705,1221,1459,15,213,2051
1,FF_Header,1,2700,1507,705,1221,1459,16,231,2047
1,FF_Header,1,2700,1507,705,1221,1459,17,247,2041
2,IV_Continuation,1,2700,1507,705,1221,1459,18,263,2045
2,IV_Continuation,1,2700,1507,705,1221,1459,19,279,2043
2,IV_Continuation,1,2700,1507,705,1221,1459,20,295,2031
2,IV_Continuation,1,2700,1507,705,1221,1459,21,311,2039
2,IV_Continuation,1,2700,1507,705,1221,1459,22,327,2045
2,IV_Continuation,1,2700,1507,705,1221,1459,23,345,2051
2,IV_Continuation,1,2700,1507,705,1221,1459,24,359,2039
2,IV_Continuation,1,2700,1507,705,1221,1459,25,377,2043
2,IV_Continuation,1,2700,1507,705,1221,1459,26,391,2043
2,IV_Continuation,1,2700,1507,705,1221,1459,27,407,2045
2,IV_Continuation,1,2700,1507,705,1221,1459,28,423,2047
2,IV_Continuation,1,2700,1507,705,1221,1459,29,439,2045
2,IV_Continuation,1,2700,1507,705,1221,1459,30,453,2045
2,IV_Continuation,1,2700,1507,705,1221,1459,31,469,2043
2,IV_Continuation,1,2700,1507,705,1221,1459,32,487,2045
2,IV_Continuation,1,2700,1507,705,1221,1459,33,503,2047
2,IV_Continuation,1,2700,1507,705,1221,1459,34,519,2047
2,IV_Continuation,1,2700,1507,705,1221,1459,35,535,2037
2,IV_Continuation,1,2700,1507,705,1221,1459,36,551,2055
2,IV_Continuation,1,2700,1507,705,1221,1459,37,567,2045
2,IV_Continuation,1,2700,1507,705,1221,1459,38,581,2041
3,IV_Continuation,1,2700,1507,705,1221,1459,39,599,2041
3,IV_Continuation,1,2700,1507,705,1221,1459,40,613,2049
3,IV_Continuation,1,2700,1507,705,1221,1459,41,631,2051
3,IV_Continuation,1,2700,1507,705,1221,1459,42,647,2049
3,IV_Continuation,1,2700,1507,705,1221,1459,43,661,2041
3,IV_Continuation,1,2700,1507,705,1221,1459,44,679,2049
3,IV_Continuation,1,2700,1507,705,1221,1459,45,693,2041
3,IV_Continuation,1,2700,1507,705,1221,1459,46,709,2045
3,IV_Continuation,1,2700,1507,705,1221,1459,47,725,2037
3,IV_Continuation,1,2700,1507,705,1221,1459,48,743,2049
3,IV_Continuation,1,2700,1507,705,1221,1459,49,759,2041
3,IV_Continuation,1,2700,1507,705,1221,1459,50,773,2041
3,IV_Continuation,1,2700,1507,705,1221,1459,51,789,2039
3,IV_Continuation,1,2700,1507,705,1221,1459,52,807,2053
3,IV_Continuation,1,2700,1507,705,1221,1459,53,823,2045
3,IV_Continuation,1,2700,1507,705,1221,1459,54,837,2047
3,IV_Continuation,1,2700,1507,705,1221,1459,55,853,2043
3,IV_Continuation,1,2700,1507,705,1221,1459,56,871,2047
3,IV_Continuation,1,2700,1507,705,1221,1459,57,887,2043
3,IV_Continuation,1,2700,1507,705,1221,1459,58,901,2051
3,IV_Continuation,1,2700,1507,705,1221,1459,59,917,2039
4,IV_Continuation,1,2700,1507,705,1221,1459,60,935,2041
4,IV_Continuation,1,2700,1507,705,1221,1459,61,951,2047
4,IV_Continuation,1,2700,1507,705,1221,1459,62,967,2041
4,IV_Continuation,1,2700,1507,705,1221,1459,63,981,2037
4,IV_Continuation,1,2700,1507,705,1221,1459,64,997,2039
4,IV_Continuation,1,2700,1507,705,1221,1459,65,1015,2043
4,IV_Continuation,1,2700,1507,705,1221,1459,66,1031,2047
4,IV_Continuation,1,2700,1507,705,1221,1459,67,1047,2049
4,IV_Continuation,1,2700,1507,705,1221,1459,68,1063,2039
4,IV_Continuation,1,2700,1507,705,1221,1459,69,1079,2039
4,IV_Continuation,1,2700,1507,705,1221,1459,70,1095,2045
4,IV_Continuation,1,2700,1507,705,1221,1459,71,1111,2051
4,IV_Continuation,1,2700,1507,705,1221,1459,72,1127,2041
4,IV_Continuation,1,2700,1507,705,1221,1459,73,1145,2045
